conf_name,market,school_city,first_name,last_name,birthplace_city,birthplace_state,birthplace_country,FGM,Steals,Three_PTM,FTM,Blocks,Offensive_Reb,Assists,Defensive_Reb,Fouls,FT_Miss,FG_Miss,Turnovers,Minutes,team_games_played_2017,games_played_on_team,attendance,avg_mins_per_game
Southwestern Athletic,Prairie View A&M,"Prairie View, TX, USA",DENNIS,JONES,Fort Worth,TX, USA,134,62,32,111,1,19,172,46,93,69,201,121,1053,34,33,0.97,30.97
Big South,High Point,"High Point, NC, USA",DENNY,SLAY,Woodbridge,VA, USA,58,19,15,22,0,8,53,46,36,8,89,34,662,30,30,1,22.07
Mid Eastern Athletic,North Carolina A&T,"Greensboro, NC, USA",DENZEL,KEYES,Kinston,NC, USA,125,22,18,55,15,72,26,120,54,34,122,31,755,35,35,1,21.57
Ohio Valley,Southeast Missouri State,"Cape Girardeau, MO, USA",DENZEL,MAHONEY,Oviedo,FL, USA,176,28,64,182,5,45,39,113,80,36,204,51,969,31,31,1,31.26
Mid-American,Bowling Green,"Bowling Green, OH, USA",DEREK,KOCH,West Salem,OH, USA,67,11,13,54,14,70,34,93,71,11,95,34,642,32,30,0.94,20.06
Southeastern,Georgia,"Athens, GA, USA",DEREK,OGBEIDE,Atlanta,GA, USA,101,11,0,26,29,61,22,142,66,29,70,38,722,33,33,1,21.88
Big Ten,Northwestern,"Rosemont, IL, USA",DERERK,PARDON,Cleveland,OH, USA,143,18,0,75,56,106,38,121,93,47,88,45,993,32,32,1,31.03
Southern,Western Carolina,"Cullowhee, NC, USA",DERIECE,PARKS,Charlotte,NC, USA,114,44,66,36,9,27,83,91,28,9,185,63,947,32,31,0.97,29.59
Conference USA,Louisiana Tech,"Ruston, LA, USA",DERRIC,JEAN,Miami,FL, USA,97,35,50,61,5,20,61,79,61,21,137,54,847,33,32,0.97,25.67
Southwestern Athletic,Texas Southern,"Houston, TX, USA",DERRICK,BRUCE,Moreno Valley,CA, USA,143,37,84,74,8,18,63,103,68,16,220,71,1056,36,32,0.89,29.33
Mid Eastern Athletic,Norfolk State,"Norfolk, VA, USA",DERRIK,JAMERSON,Detroit,MI, USA,102,30,75,3,10,44,14,59,60,2,138,27,842,33,33,1,25.52
Southeastern,Auburn,"Auburn, AL, USA",DESEAN,MURRAY,Stanley,NC, USA,112,30,18,100,19,92,59,137,79,19,134,63,812,34,34,1,23.88
Big Ten,Rutgers,"Piscataway, NJ, USA",DESHAWN,FREEMAN,Rocky Mount,NC, USA,134,51,5,93,24,81,29,160,74,37,199,63,839,34,33,0.97,24.68
Mountain West,Fresno State,"Fresno, CA, USA",DESHON,TAYLOR,Riverside,CA, USA,154,49,59,200,5,12,83,89,68,40,198,79,1083,32,32,1,33.84
Big East,Seton Hall,"Newark, NJ, USA",DESI,RODRIGUEZ,Bronx,NY, USA,204,32,56,78,15,33,63,116,75,28,206,62,939,34,31,0.91,27.62
Big 12,TCU,"Fort Worth, TX, USA",DESMOND,BANE,Richmond,IN, USA,145,31,59,64,8,15,82,119,77,18,124,58,1005,33,33,1,30.45
Ivy,Brown,"Providence, RI, USA",DESMOND,CAMBRIDGE,Nashville,TN, USA,160,29,68,80,27,25,33,97,67,24,239,39,809,27,27,1,29.96
Southern,Mercer,"Macon, GA, USA",DESMOND,RINGER,McDonough,GA, USA,118,9,2,76,12,71,16,118,83,17,81,58,867,34,34,1,25.5
Mid Eastern Athletic,Florida A&M,"Tallahassee, FL, USA",DESMOND,WILLIAMS,Atmore,AL, USA,221,40,11,164,25,60,64,148,67,58,283,100,1212,34,34,1,35.65
Southern,East Tennessee State,"Johnson City, TN, USA",DESONTA,BRADFORD,Humboldt,TN, USA,180,62,42,105,15,26,116,165,61,37,200,72,1075,34,33,0.97,31.62
Colonial,Hofstra,"Hempstead, NY, USA",DESURE ,BUIE,Bronx,NY, USA,66,22,22,39,1,6,100,40,42,9,86,44,670,31,30,0.97,21.61
Colonial,James Madison,"Harrisonburg, VA, USA",DEVELLE,PHILLIPS,Bowie,MD, USA,117,11,0,46,38,74,29,126,103,41,80,51,735,32,32,1,22.97
Sun Belt,Arkansas State,"Jonesboro, AR, USA",DEVEN,SIMMS,St. Louis,MO, USA,146,33,30,88,10,29,41,116,39,32,162,65,736,32,24,0.75,23
Ivy,Princeton,"Princeton, NJ, USA",DEVIN,CANNADY,Mishawaka,IN, USA,164,24,80,76,2,17,49,140,46,10,198,44,1064,29,29,1,36.69
American Athletic,Houston,"Houston, TX, USA",DEVIN,DAVIS,Indianapolis,IN, USA,157,23,1,66,24,55,46,164,100,31,165,38,909,35,35,1,25.97
Atlantic Sun,Jacksonville,"Jacksonville, FL, USA",DEVIN,HARRIS,Tampa,FL, USA,121,49,9,112,5,33,158,188,48,40,147,97,974,33,29,0.88,29.52
Northeast,Wagner,"Staten Island, NY, USA",DEVIN,LIGGEONS,Philadelphia,PA, USA,74,18,21,43,17,51,29,102,63,15,93,39,714,33,33,1,21.64
Sun Belt,Georgia State,"Atlanta, GA, USA",DEVIN,MITCHELL,Suwanee,GA, USA,144,24,98,33,6,10,65,76,75,17,179,49,993,35,35,1,28.37
Southern,Western Carolina,"Cullowhee, NC, USA",DEVIN,PETERSON,Milton,GA, USA,79,22,19,35,5,12,90,50,43,17,118,46,672,32,30,0.94,21
Southern,Furman,"Greenville, SC, USA",DEVIN,SIBLEY,Knoxville,TN, USA,172,25,51,58,10,14,63,143,54,48,201,87,850,33,32,0.97,25.76
Mountain West,San Diego State,"San Diego, CA, USA",DEVIN,WATSON,Oceanside,CA, USA,130,32,49,95,0,17,124,69,48,31,189,60,1031,33,33,1,31.24
Colonial,Northeastern,"Boston, MA, USA",DEVON,BEGLEY,Pearland,TX, USA,67,30,30,45,5,22,48,80,47,20,119,43,703,33,33,1,21.3
Southwestern Athletic,Alcorn State,"Lorman, MS, USA",DEVON,BREWER,Hiram,GA, USA,76,8,0,30,22,26,25,103,85,35,61,48,717,32,31,0.97,22.41
Atlantic Coast,Virginia,"Charlottesville, VA, USA",DEVON,HALL,Virginia Beach,VA, USA,132,29,57,76,5,12,107,131,48,9,159,35,1092,34,34,1,32.12
Colonial,North Carolina-Wilmington,"Wilmington, NC, USA",DEVONTAE,CACOK,Riverdale,GA, USA,221,33,0,123,18,162,28,269,106,78,157,72,942,32,32,1,29.44
Southern,East Tennessee State,"Johnson City, TN, USA",DEVONTAVIUS,PAYNE,Carbondale,IL, USA,107,30,70,24,16,16,36,88,59,6,155,31,775,34,33,0.97,22.79
Mid Eastern Athletic,North Carolina A&T,"Greensboro, NC, USA",DEVONTE,BOYKINS,Forest City,NC, USA,96,25,56,43,3,15,74,83,48,15,146,46,970,35,32,0.91,27.71
America East,Albany,"Guilderland, NY, USA",DEVONTE,CAMPBELL,Vaughan,ON, CAN,67,16,7,66,18,44,53,70,52,19,97,37,958,32,31,0.97,29.94
Big Ten,Indiana,"Bloomington, IN, USA",DEVONTE,GREEN,North Babylon,NY, USA,80,32,33,43,6,9,76,51,33,18,140,59,697,31,31,1,22.48
Big Sky,Montana State,"Bozeman, MT, USA",DEVONTE,KLINES,Los Angeles,CA, USA,87,18,11,49,6,22,45,34,55,33,136,54,753,32,32,1,23.53
Big 12,Kansas,"Lawrence, KS, USA",DEVONTE',GRAHAM,Raleigh,NC, USA,199,62,110,167,2,24,282,133,56,35,299,109,1474,39,39,1,37.79
Atlantic Coast,Miami (FL),"Coral Gables, FL, USA",DEWAN,HUELL,Miami,FL, USA,147,17,0,71,31,65,14,148,60,32,108,44,826,32,32,1,25.81
Mid Eastern Athletic,Savannah State,"Savannah, GA, USA",DEXTER,MCCLANAHAN,Stockbridge,GA, USA,166,39,70,97,6,37,61,98,58,36,241,56,943,32,31,0.97,29.47
Metro Atlantic Athletic,Iona,"New Rochelle, NY, USA",DEYSHONEE,MUCH,Rochester,NY, USA,116,39,67,36,7,23,73,100,35,8,170,47,903,34,32,0.94,26.56
Atlantic Sun,N.J.I.T.,"Newark, NJ, USA",DIANDRE,WILSON,Fort Lauderdale,FL, USA,101,33,41,52,12,10,39,55,57,24,142,53,732,30,29,0.97,24.4
Horizon,Illinois-Chicago,"Chicago, IL, USA",DIKEMBE,DIXSON,Matewan,WV, USA,149,40,35,120,6,22,26,89,52,44,234,89,950,36,32,0.89,26.39
Big West,UC Riverside,"Riverside, CA, USA",DIKYMBE,MARTIN,Riverside,CA, USA,116,30,31,76,0,14,71,75,46,13,159,68,788,31,25,0.81,25.42
Metro Atlantic Athletic,Rider,"Lawrenceville, NJ, USA",DIMENCIO,VAUGHN,New York,NY, USA,164,53,27,113,21,74,31,119,70,35,159,69,804,32,29,0.91,25.13
American Athletic,East Carolina,"Greenville, NC, USA",DIMITRI,SPASOJEVIC,Vrsac,, SRB,82,10,0,19,13,41,20,80,61,27,63,47,717,30,30,1,23.9
Atlantic Sun,Florida Gulf Coast,"Fort Myers, FL, USA",DINERO,MERCURIUS,Orlando,FL, USA,80,21,58,36,3,18,22,38,52,3,108,30,700,35,32,0.91,20
Mountain West,Utah State,"Logan, UT, USA",DIOGO,BRITO,Povoa de Varzim,, PRT,76,27,21,32,2,21,68,97,53,21,89,53,836,34,34,1,24.59
Atlantic Sun,Stetson,"DeLand, FL, USA",DIVINE,MYLES,Mobile,AL, USA,190,49,34,106,4,24,130,115,52,39,191,49,1077,32,31,0.97,33.66
Southeastern,Texas A&M,"College Station, TX, USA",DJ,HOGG,Plano,TX, USA,119,27,65,51,28,37,84,132,67,20,171,52,988,35,32,0.91,28.23
Big South,Gardner-Webb,"Boiling Springs, NC, USA",DJ,LASTER,Pensacola,FL, USA,188,18,21,45,13,63,14,109,79,29,184,61,844,32,32,1,26.38
Big West,UC Riverside,"Riverside, CA, USA",DJ,SLYVESTER,Victorville,CA, USA,64,15,27,54,1,15,26,62,48,26,121,36,651,31,27,0.87,21
Ohio Valley,Morehead State,"Morehead, KY, USA",DJIMON,HENSON,Indianapolis,IN, USA,101,9,52,36,4,20,22,62,44,13,154,43,790,29,29,1,27.24
Colonial,Elon,"Elon, NC, USA",DMITRI,THOMPSON,Orlando,FL, USA,133,22,49,77,6,37,72,134,46,25,160,50,983,32,32,1,30.72
Conference USA,Southern Miss,"Hattiesburg, MS, USA",DOMINIC,MAGEE,Harvey,LA, USA,127,28,42,78,5,26,47,186,58,43,158,42,841,34,32,0.94,24.74
Pacific 12,California,"Berkeley, CA, USA",DON,COLEMAN,Augusta,GA, USA,127,42,26,147,1,32,57,56,67,50,260,60,943,32,30,0.94,29.47
Northeast,Mount St. Mary's,"Emmitsburg, MD, USA",DONALD,CAREY,Upper Marlboro,MD, USA,98,32,39,54,3,11,110,74,53,12,142,86,1006,32,32,1,31.44
Big South,Radford,"Radford, VA, USA",DONALD,HICKS,Chesapeake,VA, USA,99,20,65,26,1,43,48,76,74,4,168,39,966,36,36,1,26.83
Colonial,Northeastern,"Boston, MA, USA",DONNELL,GRESHAM,Maplewood,MN, USA,91,25,66,51,5,14,63,133,46,14,132,28,915,33,33,1,27.73
Big West,Cal Poly,"San Luis Obispo, CA, USA",DONOVAN,FIELDS,Newburgh,NY, USA,145,36,37,75,4,9,126,93,73,6,210,73,1006,31,31,1,32.45
Big 12,Iowa State,"Ames, IA, USA",DONOVAN,JACKSON,Milwaukee,WI, USA,143,15,95,70,2,8,62,55,62,10,232,48,1032,31,30,0.97,33.29
Southeastern,Alabama,"Tuscaloosa, AL, USA",DONTA,HALL,Luverne,AL, USA,151,24,0,60,68,76,20,148,59,48,57,43,805,36,35,0.97,22.36
Southwestern Athletic,Texas Southern,"Houston, TX, USA",DONTE,CLARK,Charlotte,NC, USA,203,39,42,216,12,39,93,148,106,63,303,102,1252,36,36,1,34.78
Big East,Villanova,"Philadelphia, PA, USA",DONTE,DIVINCENZO,Wilmington,DE, USA,188,42,85,76,8,46,139,144,84,31,203,79,1171,40,40,1,29.27
Missouri Valley,Loyola (IL),"Chicago, IL, USA",DONTE,INGRAM,Chicago,IL, USA,147,34,74,51,14,20,59,223,56,24,185,55,1161,38,38,1,30.55
Missouri Valley,Bradley,"Peoria, IL, USA",DONTE,THOMAS,Calumet City,IL, USA,150,36,7,78,34,80,32,159,76,32,126,52,858,33,33,1,26
Mid Eastern Athletic,South Carolina State,"Orangeburg, SC, USA",DONTE,WRIGHT,Jackson,SC, USA,129,22,93,53,2,19,28,54,47,13,220,47,836,32,32,1,26.13
Atlantic Coast,Wake Forest,"Winston-Salem, NC, USA",DORAL,MOORE,Locust Grove,GA, USA,153,11,0,38,61,99,9,192,89,45,69,39,791,31,31,1,25.52
Mid-American,Ohio,"Athens, OH, USA",DOUG,TAYLOR,Columbus,OH, USA,94,17,1,25,60,73,21,149,83,22,72,43,745,31,31,1,24.03
Mid-American,Western Michigan,"Kalamazoo, MI, USA",DRAKE,LAMONT,Plantation,FL, USA,93,12,2,31,26,48,37,77,75,15,91,20,778,32,32,1,24.31
Big Sky,Southern Utah,"Cedar City, UT, USA",DRE,MARIN,Glendale,AZ, USA,70,31,34,56,5,16,61,100,81,16,106,50,900,32,31,0.97,28.13
Big West,Hawaii,"Honolulu, HI, USA",DREW,BUGGS,Long Beach,CA, USA,85,46,20,53,4,26,108,85,52,28,127,64,850,30,30,1,28.33
Pacific 12,Oregon State,"Corvallis, OR, USA",DREW,EUBANKS,Troutdale,OR, USA,164,15,0,94,55,59,35,159,86,40,99,56,1003,32,32,1,31.34
Horizon,Northern Kentucky,"Highland Heights, KY, USA",DREW,MCDONALD,Cold Spring,KY, USA,196,16,55,97,16,62,72,246,73,24,224,70,980,32,32,1,30.63
America East,Vermont,"Burlington, VT, USA",DREW,URQUHART,Vancouver,BC, CAN,143,8,13,85,37,47,57,138,75,26,92,38,838,35,35,1,23.94
Pacific 12,Washington State,"Pullman, WA, USA",DRICK,BERNSTINE,Aurora,CO, USA,91,35,0,19,19,53,77,146,78,16,87,68,810,31,29,0.94,26.13
Big Ten,Michigan,"Ann Arbor, MI, USA",DUNCAN,ROBINSON,New Castle,NH, USA,122,27,78,57,16,19,44,81,99,7,155,25,1059,41,41,1,25.83
Southeastern,LSU,"Baton Rouge, LA, USA",DUOP,REATH,Perth,, AUS,167,15,19,61,32,64,22,111,76,36,140,55,800,33,33,1,24.24
Big Ten,Minnesota,"Minneapolis, MN, USA",DUPREE,MCBRAYER,Queens,NY, USA,82,26,36,53,9,4,66,52,50,25,148,33,772,32,27,0.84,24.13
Pacific 12,Arizona,"Tuscon, AZ, USA",DUSAN,RISTIC,Novi Sad,, SRB,178,13,6,64,18,72,32,171,82,17,135,47,949,35,35,1,27.11
Big Sky,Weber State,"Ogden, UT, USA",DUSTY,BAKER,Rancho Santa Margarita,CA, USA,64,24,44,51,3,6,115,120,42,6,76,41,789,31,31,1,25.45
Mountain West,Utah State,"Logan, UT, USA",DWAYNE,BROWN,Conyers,GA, USA,115,21,31,45,8,49,47,120,90,19,142,57,871,34,34,1,25.62
Missouri Valley,Bradley,"Peoria, IL, USA",DWAYNE,LAUTIER-OGUNLEYE,London,, GBR,77,17,19,78,2,45,88,109,63,34,97,44,865,33,33,1,26.21
Conference USA,Western Kentucky,"Bowling Green, KY, USA",DWIGHT,COLEBY,Nassau,, BHS,161,23,0,96,66,96,22,209,88,32,109,61,1050,38,38,1,27.63
Mid-American,Bowling Green,"Bowling Green, OH, USA",DYLAN,FRYE,Pembroke Pines,FL, USA,124,23,59,58,6,12,73,86,53,22,205,49,918,32,31,0.97,28.69
Big 12,Texas,"Austin, TX, USA",DYLAN,OSETKOWSKI,San Diego,CA, USA,161,35,42,93,8,78,42,166,62,36,241,76,1196,34,34,1,35.18
Ohio Valley,Belmont,"Nashville, TN, USA",DYLAN,WINDLER,Indianapolis,IN, USA,204,34,69,94,31,57,90,250,77,37,161,78,1168,33,33,1,35.39
Atlantic 10,Rhode Island,"Kingston, RI, USA",E.C.,MATTHEWS,Detroit,MI, USA,138,22,43,61,14,23,25,93,44,23,184,45,804,34,28,0.82,23.65
Metro Atlantic Athletic,Iona,"New Rochelle, NY, USA",E.J.,CRAWFORD,Hartford,CT, USA,146,19,50,72,9,17,36,96,49,18,171,32,884,34,33,0.97,26
Patriot League,Lafayette,"Easton, PA, USA",E.J.,STEPHENS,Plantation,FL, USA,81,8,23,20,9,10,23,58,20,13,76,18,634,31,30,0.97,20.45
Big South,Radford,"Radford, VA, USA",ED,POLITE,Lanham,MD, USA,166,68,22,125,34,81,53,202,69,47,184,67,1154,36,36,1,32.06
Colonial,Towson,"Towson, MD, USA",EDDIE,KEITH,Orlando,FL, USA,111,28,13,45,36,55,66,102,103,40,116,45,794,32,32,1,24.81
Southwestern Athletic,Southern University,"Baton Rouge, LA, USA",EDDIE,REESE,Detroit,MI, USA,107,35,61,68,14,18,104,80,49,29,159,72,895,33,31,0.94,27.12
Southeastern,Florida,"Gainesville, FL, USA",EGOR,KOULECHOV,Volgograd,, RUS,161,21,70,76,4,57,40,161,74,12,228,44,1040,34,34,1,30.59
Big East,DePaul,"Chicago, IL, USA",ELI,CAIN,Willingboro,NJ, USA,126,29,36,76,8,19,146,96,62,39,236,73,1040,31,31,1,33.55
Colonial,Hofstra,"Hempstead, NY, USA",ELI,PEMBERTON,Middletown,CT, USA,145,20,54,132,5,48,67,96,66,43,176,61,1046,31,30,0.97,33.74
Atlantic Sun,Lipscomb,"Nashville, TN, USA",ELI,PEPPER,Princeton,KY, USA,86,17,15,42,22,60,64,201,96,36,87,61,803,33,33,1,24.33
West Coast,Loyola Marymount,"Los Angeles, CA, USA",ELI,SCOTT,Chino Hills,CA, USA,148,24,2,94,10,89,72,138,66,61,166,84,958,31,31,1,30.9
Pacific 12,Oregon,"Eugene, OR, USA",ELIJAH,BROWN,Orange County,CA, USA,159,27,92,80,1,26,90,94,68,6,223,67,1050,36,36,1,29.17
West Coast,BYU,"Provo, UT, USA",ELIJAH,BRYANT,Gwinnett,GA, USA,202,44,85,147,19,16,81,206,81,26,207,80,1215,35,35,1,34.71
Missouri Valley,Bradley,"Peoria, IL, USA",ELIJAH,CHILDS,Kansas City,MO, USA,113,24,7,44,46,77,21,127,68,38,112,45,690,33,33,1,20.91
Big South,Liberty,"Lynchburg, VA, USA",ELIJAH,CUFFEE,Poca,WV, USA,70,33,34,19,12,9,68,74,77,4,105,52,892,37,37,1,24.11
Northeast,Wagner,"Staten Island, NY, USA",ELIJAH,DAVIS,Bronx,NY, USA,79,23,15,59,11,42,25,101,53,14,122,55,662,33,33,1,20.06
Metro Atlantic Athletic,St. Peter's,"Jersey City, NJ, USA",ELIJAH,GONZALES,Portland,OR, USA,68,46,25,18,1,7,87,57,41,14,93,55,671,32,29,0.91,20.97
America East,New Hampshire,"Durham, NH, USA",ELIJAH,JORDAN,Orlando,FL, USA,61,12,31,20,0,12,87,49,41,10,106,56,656,31,28,0.9,21.16
Mid Eastern Athletic,Florida A&M,"Tallahassee, FL, USA",ELIJAH,MAYES,Orlando,FL, USA,130,27,30,44,0,8,85,55,59,7,140,53,885,34,30,0.88,26.03
Mid-American,Eastern Michigan,"Ypsilanti, MI, USA",ELIJAH,MINNIE,Pittsburgh,PA, USA,210,63,78,91,66,49,39,165,64,17,254,81,1098,35,35,1,31.37
America East,Stony Brook,"Stony Brook, NY, USA",ELIJAH,OLANIYI,Newark,NJ, USA,96,32,26,31,4,39,21,84,47,27,114,48,712,32,32,1,22.25
Southland,Texas A&M-CC,"Corpus Christi, TX, USA",ELIJAH,SCHMIDT,Spring,TX, USA,57,18,2,31,8,47,23,111,71,21,56,32,638,29,29,1,22
Pacific 12,USC,"Los Angeles, CA, USA",ELIJAH,STEWART,DeRidder,LA, USA,143,24,70,65,21,32,45,77,72,12,173,30,1066,36,36,1,29.61
Atlantic Coast,Clemson,"Clemson, SC, USA",ELIJAH,THOMAS,Dallas,TX, USA,145,22,0,83,79,80,37,203,111,51,114,73,875,35,35,1,25
Southwestern Athletic,Southern University,"Baton Rouge, LA, USA",EMANUAL,SHEPHERD,Toronto,ON, CAN,90,22,1,38,24,63,38,115,67,31,103,43,806,33,33,1,24.42
West Coast,Santa Clara,"Santa Clara, CA, USA",EMMANUEL,NDUMANYA,Anambra,, NGA,64,26,0,56,15,56,21,97,101,36,61,46,705,31,31,1,22.74
Summit League,Oral Roberts,"Tulsa, OK, USA",EMMANUEL,NZEKWESI,Trophy Club,TX, USA,161,38,15,69,21,85,55,144,60,33,194,68,975,32,32,1,30.47
West Coast,Saint Mary's,"Moraga, CA, USA",EMMETT,NAAR,Sydney,, AUS,126,29,25,66,5,11,284,76,41,12,141,102,1274,36,36,1,35.39
Southern,Samford,"Birmingham, AL, USA",ERIC,ADAMS,Hoover,AL, USA,126,43,0,69,46,80,18,127,87,24,59,45,765,32,32,1,23.91
Northeast,Central Connecticut State,"New Britain, CT, USA",ERIC,BOWLES,Fairfax,VA, USA,41,25,7,26,1,19,83,41,56,24,49,46,738,32,29,0.91,23.06
Colonial,Delaware,"Newark, DE, USA",ERIC,CARTER,Jackson,NJ, USA,121,17,0,88,25,71,53,201,80,46,83,60,869,33,30,0.91,26.33
Big 12,Texas,"Austin, TX, USA",ERIC,DAVIS,Saginaw,MI, USA,75,17,40,38,0,6,16,57,46,13,114,24,680,34,26,0.76,20
Conference USA,Florida International,"Miami, FL, USA",ERIC,LOCKETT,Warner Robins,GA, USA,181,39,14,81,12,41,98,168,67,32,208,66,1185,32,32,1,37.03
Mid-American,Akron,"Akron, OH, USA",ERIC,PARRISH,Cypress,TX, USA,107,39,23,41,7,51,43,99,74,25,101,45,864,32,32,1,27
Big East,Villanova,"Philadelphia, PA, USA",ERIC,PASCHALL,Dobbs Ferry,NY, USA,144,35,36,78,24,70,83,130,93,18,126,64,1134,40,38,0.95,28.35
Patriot League,Lafayette,"Easton, PA, USA",ERIC,STAFFORD,Pitman,NJ, USA,55,23,17,41,11,18,96,72,55,10,91,54,794,31,31,1,25.61
Atlantic 10,Duquesne,"Pittsburgh, PA, USA",ERIC,WILLIAMS,New Haven,MI, USA,147,43,67,97,10,68,51,212,67,34,228,67,1079,32,32,1,33.72
Sun Belt,Texas-Arlington,"Arlington, TX, USA",ERICK,NEAL,Dallas,TX, USA,188,65,93,83,3,24,222,114,64,26,245,122,1138,34,33,0.97,33.47
America East,Vermont,"Burlington, VT, USA",ERNIE,DUNCAN,Evansville,IN, USA,116,17,66,60,3,6,73,73,51,11,141,39,958,35,33,0.94,27.37
American Athletic,SMU,"Dallas, TX, USA",ETHAN,CHARGOIS,Tulsa,OK, USA,101,25,35,44,21,46,33,89,77,33,117,41,661,33,31,0.94,20.03
Big Ten,Wisconsin,"Madison, WI, USA",ETHAN,HAPP,Milan,IL, USA,242,49,1,105,35,78,122,186,87,86,216,93,1017,33,33,1,30.82
Pacific 12,Oregon State,"Corvallis, OR, USA",ETHAN,THOMPSON,Los Angeles,CA, USA,97,23,35,87,12,40,111,90,87,32,156,63,1030,32,32,1,32.19
Mid-American,Northern Illinois,"DeKalb, IL, USA",EUGENE,GERMAN,Gary,IN, USA,243,28,62,111,5,13,54,110,39,33,273,66,991,32,32,1,30.97
Big Ten,Rutgers,"Piscataway, NJ, USA",EUGENE,OMORUYI,Rexdale,ON, CAN,97,28,0,59,24,70,31,90,65,50,108,44,694,34,32,0.94,20.41
Metro Atlantic Athletic,Siena,"Albany, NY, USA",EVAN,FISHER,Pasadena,MD, USA,89,12,27,46,23,31,26,126,62,16,116,52,896,32,32,1,28
Conference USA,UTEP,"El Paso, TX, USA",EVAN,GILYARD,Chicago,IL, USA,88,26,26,81,1,8,51,51,63,15,143,69,625,31,31,1,20.16
Horizon,IUPUI,"Indianapolis, IN, USA",EVAN,HALL,Hindman,KY, USA,97,21,0,30,25,74,20,104,72,72,118,54,655,30,29,0.97,21.83
Big West,UC Irvine,"Irvine, CA, USA",EVAN,LEONARD,Cerritos,CA, USA,161,48,67,88,4,16,69,98,94,23,199,60,977,35,35,1,27.91
Big Ten,Nebraska,"Lincoln, NE, USA",EVAN,TAYLOR,Cincinnati,OH, USA,68,32,16,58,15,26,74,87,65,23,91,40,851,33,33,1,25.79
Southwestern Athletic,Alabama A&M,"Huntsville, AL, USA",EVAN,WILEY,Huntsville,AL, USA,78,13,34,30,8,48,28,78,53,19,112,38,792,31,31,1,25.55
America East,Vermont,"Burlington, VT, USA",EVERETT,DUNCAN,Evansville,IN, USA,71,9,51,31,4,30,16,118,59,5,72,15,990,35,35,1,28.29
America East,Binghamton,"Binghamton, NY, USA",EVERSON,DAVIS,Hightstown,NJ, USA,76,26,16,65,3,29,67,84,34,23,89,39,736,31,31,1,23.74
Big West,UC Irvine,"Irvine, CA, USA",EYASSU,WORKU,Artesia,CA, USA,147,40,33,68,1,23,130,84,51,22,239,77,999,35,35,1,28.54
Southland,New Orleans,"New Orleans, LA, USA",EZEKIEL,CHARLES,Brooklyn,NY, USA,76,19,51,30,6,35,30,65,41,11,98,32,669,33,31,0.94,20.27
Big Sky,Montana,"Missoula, MT, USA",FABIJAN,KRSLOVIC,Sydney,, AUS,92,30,0,67,19,52,48,120,64,27,71,50,847,34,34,1,24.91
America East,Binghamton,"Binghamton, NY, USA",FARD,MUHAMMAD,Windermere,FL, USA,88,18,64,16,3,12,33,65,25,9,115,25,628,31,31,1,20.26
Ohio Valley,Tennessee-Martin,"Martin, TN, USA",FATODD,LEWIS,Memphis,TN, USA,143,31,22,63,17,63,40,157,40,25,174,61,875,31,30,0.97,28.23
Mid Eastern Athletic,North Carolina A&T,"Greensboro, NC, USA",FEMI,OLUJOBI,Long Island,NY, USA,185,14,18,135,22,54,37,191,63,39,160,80,1006,35,32,0.91,28.74
Metro Atlantic Athletic,Fairfield,"Bridgeport, CT, USA",FERRON,FLAVORS,Federal Way,WA, USA,134,20,95,43,0,18,36,102,59,15,244,27,1033,33,33,1,31.3
Southern,Wofford,"Spartanburg, SC, USA",FLETCHER,MAGEE,Orlando,FL, USA,253,31,148,97,3,9,58,91,61,10,270,56,1143,34,34,1,33.62
Southern,UNC Greensboro,"Greensboro, NC, USA",FRANCIS,ALONSO,Malaga,, ESP,175,36,111,86,2,16,103,67,70,13,248,87,1026,35,35,1,29.31
Sun Belt,Louisiana-Lafayette,"Lafayette, LA, USA",FRANK,BARTLEY,Baton Rouge,LA, USA,179,45,87,141,3,21,65,97,61,23,234,63,1014,34,33,0.97,29.82
Southeastern,South Carolina,"Columbia, SC, USA",FRANK,BOOKER,Augusta,GA, USA,126,37,85,81,8,21,39,96,63,25,165,36,892,33,33,1,27.03
Atlantic Coast,Syracuse,"Syracuse, NY, USA",FRANK,HOWARD,Suitland,MD, USA,187,68,67,92,10,19,175,110,99,36,310,125,1419,37,37,1,38.35
West Coast,San Francisco,"San Francisco, CA, USA",FRANKIE,FERRARI,Burlingame,CA, USA,157,40,70,62,0,7,178,87,69,16,224,69,1120,39,39,1,28.72
Southern,Citadel,"Charleston, SC, USA",FRANKIE,JOHNSON,Darlington,SC, USA,67,57,23,45,3,31,138,73,72,21,104,73,864,32,32,1,27
West Coast,Portland,"Portland, OR, USA",FRANKLIN,PORTER,Portland,OR, USA,107,15,30,48,9,12,60,93,69,16,141,58,825,32,32,1,25.78
Western Athletic,Chicago State,"Chicago, IL, USA",FRED,SIMS,Chicago,IL, USA,146,23,61,73,2,24,33,88,40,11,307,44,922,32,30,0.94,28.81
Metro Atlantic Athletic,Rider,"Lawrenceville, NJ, USA",FREDERICK,SCOTT,Munster,IN, USA,149,19,32,79,9,66,25,143,59,98,137,57,763,32,32,1,23.84
Atlantic Coast,Clemson,"Clemson, SC, USA",GABE,DEVOE,Shelby,NC, USA,170,37,86,71,14,31,73,135,72,20,209,70,1203,35,35,1,34.37
