conf_name,market,school_city,first_name,last_name,birthplace_city,birthplace_state,birthplace_country,FGM,Steals,Three_PTM,FTM,Blocks,Offensive_Reb,Assists,Defensive_Reb,Fouls,FT_Miss,FG_Miss,Turnovers,Minutes,team_games_played_2017,games_played_on_team,attendance,avg_mins_per_game
Ohio Valley,SIU-Edwardsville,"Edwardsville, IL, USA",DANIEL,KINCHEN,Atlanta,GA, USA,103,18,61,75,1,8,68,42,41,8,199,63,743,30,30,1,24.77
Summit League,Nebraska-Omaha,"Omaha, NE, USA",DANIEL,NORL,Clarksville,TN, USA,138,24,44,78,6,18,78,88,57,17,153,68,985,31,31,1,31.77
Ohio Valley,Southeast Missouri State,"Cape Girardeau, MO, USA",DANIEL,SIMMONS,Biggersville,MS, USA,131,32,47,71,3,14,61,101,61,34,153,57,773,31,31,1,24.94
Mid-American,Akron,"Akron, OH, USA",DANIEL,UTOMI,Houston,TX, USA,175,30,88,97,9,33,60,137,68,29,214,67,1104,32,32,1,34.5
Mid-American,Kent State,"Kent, OH, USA",DANNY,PIPPEN,Detroit,MI, USA,90,13,33,53,53,74,19,149,85,13,130,48,722,34,33,0.97,21.24
Southwestern Athletic,Mississippi Valley State,"Itta Bena, MS, USA",DANTE,SCOTT,Miami,FL, USA,162,15,44,79,9,51,57,116,63,23,224,76,948,32,30,0.94,29.63
Southwestern Athletic,Alcorn State,"Lorman, MS, USA",DANTE,STERLING,Fayetteville,GA, USA,116,31,58,87,4,21,48,84,44,20,183,67,867,32,32,1,27.09
Mid-American,Northern Illinois,"DeKalb, IL, USA",DANTE,THORPE,Washington,DC, USA,124,24,16,37,8,30,49,61,53,16,110,52,781,32,28,0.88,24.41
Colonial,Delaware,"Newark, DE, USA",DARIAN,BRYANT,Bowie,MD, USA,74,22,20,12,6,14,53,66,36,19,107,41,919,33,31,0.94,27.85
Southwestern Athletic,Jackson State,"Jackson, MS, USA",DARIUS,AUSTIN,Centreville,IL, USA,70,28,24,26,7,37,35,76,41,25,117,51,646,32,30,0.94,20.19
Colonial,James Madison,"Harrisonburg, VA, USA",DARIUS,BANKS,St. Petersburg,FL, USA,115,48,27,69,13,29,59,104,74,15,167,61,941,32,32,1,29.41
Pacific 12,California,"Berkeley, CA, USA",DARIUS,MCNEILL,Houston,TX, USA,128,39,67,40,6,10,70,84,75,14,208,70,1051,32,32,1,32.84
